,tool_name,api_name,instruction,type
0,access_user_info,get_user_profile,Can you provide me with Jane's user profile?,3
1,access_user_info,get_user_profile,Can you get the user profiles for users named 'David'?,3
2,access_user_info,get_user_profile,Is it possible to fetch the 'John Doe' user profile?,3
3,access_user_info,get_user_profile,Could you provide the user profile for someone who is 30 years old?,3
4,access_user_info,get_user_profile,Can you fetch user profiles for users who are 50 years old?,3
5,access_user_info,get_user_profile,Can I get user profiles for female users?,3
6,access_user_info,get_user_profile,Can you provide user profiles for male users?,3
7,access_user_info,get_user_profile,Is it possible to fetch user profiles for users from New York?,3
8,access_user_info,get_user_profile,Can you get user profiles for users currently located in Los Angeles?,3
9,access_user_info,get_user_profile,Can I get user profiles for users speaking Spanish?,3
10,agent_equipments,get_current_time,Could you tell me what the day is?,3
11,agent_equipments,get_current_time,Can I know the current time?,3
12,agent_equipments,get_current_time,Please let me know today's date.,3
13,agent_equipments,get_current_time,What is the timestamp right now?,3
14,agent_equipments,get_current_time,Could you inform me of the current time and date?,3
15,agent_equipments,get_current_time,What day of the week is it today?,3
16,agent_equipments,get_current_time,Could you tell me the current date and time?,3
17,agent_equipments,get_current_time,"Let me know, what time is it now?",3
18,agent_equipments,get_current_time,What is today's date?,3
19,agent_equipments,get_current_time,Would you tell me the day of the week?,3
20,agent_equipments,get_my_location,Where am I right now?,3
21,agent_equipments,get_my_location,Can you tell me my current location?,3
22,agent_equipments,get_my_location,What's my current address?,3
23,agent_equipments,get_my_location,Tell me the name of the city I'm in.,3
24,agent_equipments,get_my_location,Find my coordinates.,3
25,agent_equipments,get_my_location,What is my latitude and longitude?,3
26,agent_equipments,get_my_location,In which country do I currently reside?,3
27,agent_equipments,get_my_location,Please provide the name of the province or state I am in.,3
28,agent_equipments,get_my_location,Determine my geographic location without using GPS.,3
29,agent_equipments,get_my_location,Help me locate myself on a map.,3
30,airports,query_airports_by_name,"Where is the airport named ""Frankfurt Airport"" located?",3
31,airports,query_airports_by_name,"Can you tell me some information about ""Haneda Airport"" in Japan?",3
32,airports,query_airports_by_name,I am looking for information about “Brisbane Airport”.,3
33,airports,query_airports_by_name,Can you show me the next page of the list of airports?,3
34,airports,query_airports_by_name,I would like to navigate to page 3 of all airports list. ,3
35,airports,query_airports_by_name,I want to see twenty airports on one page. ,3
36,airports,query_airports_by_name,Can you display 15 airports per page for me?,3
37,airports,query_airports_by_name,Can you sort the airports by their names for me?,3
38,airports,query_airports_by_name,Can you organize the airport list in the order of IATA code?,3
39,airports,query_airports_by_name,Can I get the airport list sorted by ICAO codes?,3
40,airports,get_airport_by_iata_code,Can you tell me more information about the airport?,3
41,airports,get_airport_by_iata_code,I want to know more about Hong Kong International Airport.,3
42,airports,get_airport_by_iata_code,What is the information of Beijing International Airport?,3
43,airports,get_airport_by_iata_code,Can you give me the local time of an airport?,3
44,airports,get_airport_by_iata_code,What is the ICAO code of the airport?,3
45,airports,get_airport_by_iata_code,Could I know the location of the airport?,3
46,airports,get_airport_by_iata_code,What's the information about Frankfurt airport in Germany?,3
47,airports,get_airport_by_iata_code,Is Los Angeles International Airport a large or small airport?,3
48,airports,get_airport_by_iata_code,How many gates does the airport have?,3
49,airports,get_airport_by_iata_code,Do you know the airport’s contact number?,3
50,airports,get_airport_by_icao_code,Can you tell me the location of an airport?,3
51,airports,get_airport_by_icao_code,"I want to know the local time at an airport, but I don't have the ICAO code.",3
52,airports,get_airport_by_icao_code,What is the latitude and longitude of an airport?,3
53,airports,get_airport_by_icao_code,Is the airport I am thinking of an international or domestic airport?,3
54,airports,get_airport_by_icao_code,Can you provide me with information about an airport?,3
55,airports,get_airport_by_icao_code,Which timezone does the airport belong to? ,3
56,airports,get_airport_by_icao_code,What is the IATA code of an airport?,3
57,airports,get_airport_by_icao_code,How can I find the details of an airport nearby?,3
58,airports,get_airport_by_icao_code,What country is the airport located in? ,3
59,airports,get_airport_by_icao_code,What are the airport facilities available?,3
60,bing,web_search,"Can you search for the term ""AI development""?",3
61,bing,web_search,"Do a web search for ""best stories"".",3
62,bing,web_search,"Perform a web search for ""recent scientific discoveries"".",3
63,bing,web_search,Start from the tenth result when presenting web search results.,3
64,bing,web_search,Show search results but start from the fifth.,3
65,bing,web_search,Can you skip the first 20 search results?,3
66,bing,web_search,Show the search results in Chinese.,3
67,bing,web_search,Can you conduct the search in Spanish?,3
